entity_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
21,-0.14984733,-0.09244082,-0.20293051,0.021548808,0.07403972,0.07675004,-0.033436883,-0.13289969,0.24574322,-0.16703147,0.020630745,-0.17464924,-0.06166111,-0.21498637,-0.09650189,-0.102374166,0.01482044,-0.053800672,0.16265087,-0.1497805,-0.15347537,0.13280608,0.12836257,-0.015056796,0.16886581,-0.09078888,-0.041347772,-0.20173198,-0.11110814,-0.0022082748,-0.046865165,-0.20760268,-0.018241402,0.09805624,-0.16546072,-0.07222487,0.0010570385,0.12181744,-0.13382442,-0.062080096,-0.16301498,-0.09420496,0.21443184,-0.19340535,0.104824096,0.15754583,-0.16455334,-0.059165612,0.13366552,0.13510081,0.16268386,-0.16780019,-0.23474607,-0.20143676,-0.15000549,-0.020462373,-0.07526216,0.13799444,-0.012716265,-0.10245714,0.14962153,0.101121955,0.12492691,0.15402006
22,0.15960953,0.1316973,-0.1224903,-0.20813644,0.10312735,-0.16369866,0.17198281,0.036624137,-0.114328355,-0.08306761,0.11623076,-0.08441643,-0.13623965,-0.06475158,0.123396784,-0.019751295,-0.16509432,-0.067065336,0.20107931,-0.048522055,-0.14064446,-0.169386,-0.19710252,-0.17026356,0.15471292,-0.11122189,0.0505024,-0.18162163,0.16042773,-0.057425093,0.0068218615,0.18595444,-0.078284614,-0.06291878,0.14323649,-0.16652787,0.14258438,0.09044228,-0.08598463,-0.18795191,-0.16213039,-0.14805946,-0.16899334,0.15781581,0.16937289,0.09980509,0.2010305,0.074583285,-0.07856908,-0.112234525,0.11126075,-0.05854736,0.043088418,-0.16165423,0.1428021,-0.105677605,-0.071314625,0.04863644,0.18558604,-0.088064685,0.08958355,0.102759585,0.14767627,0.1610978
23,0.012968637,0.16459593,-0.15996966,0.026953805,-0.17983808,-0.21015616,0.13966404,-0.016184326,0.06569508,-0.08759491,0.16389765,0.13467214,0.16959473,-0.069454476,-0.21549578,-0.045938954,-0.23717843,-0.083573155,-0.099102445,0.041587137,-0.19099364,0.18430242,0.24853824,0.10859163,0.013117592,-0.099352434,-0.17488071,-0.0588799,-0.0069358293,-0.18399781,0.12777105,-0.18981172,0.027615393,0.13216326,-0.021988764,-0.17714258,-0.15308885,0.092115805,0.19544834,0.10915205,-0.08035362,-0.2055143,-0.0761502,-0.06415494,-0.1130895,0.0334256,-0.046105176,0.07197269,-0.1893601,0.1725024,0.1770148,0.100606196,0.015322485,0.04197988,0.037903845,-0.04150764,-0.09176925,0.11410403,0.016918687,-0.11221236,-0.17362641,-0.06338801,-0.049241498,0.10614156
24,0.053062964,0.09091005,-0.24286576,0.014507375,0.080596566,-0.020256497,0.06728151,-0.098167725,0.032410476,-0.23709558,0.028426452,-0.10308907,-0.04816548,-0.10609674,-0.11221343,-0.03863108,-0.039839007,-0.22515994,0.20465422,-0.118450694,-0.24066246,0.10637498,0.01543036,-1.6031023e-05,0.07846832,-0.24261175,-0.102453135,-0.2064806,-0.102271155,-0.018984508,-0.107244864,-0.08242937,0.12068792,0.18945889,0.06372969,-0.17600451,0.036379702,0.15891647,0.042380173,-0.027595555,-0.16100278,-0.14991798,0.072112136,-0.035415325,-0.007044354,0.10313948,-0.08043732,0.14862347,-0.045742918,0.17085277,0.2368953,-0.052342348,-0.04612146,-0.05724879,0.020226631,-0.20899265,-0.1336229,0.19779828,-0.032360222,-0.16564141,0.07609367,-0.07292618,0.16806488,0.20115638
101,-0.1884555,-0.21745847,-0.113750726,0.23705813,-0.07448959,0.015228874,0.16654664,-0.026511587,0.14954668,0.01188249,-0.17766227,-0.14824773,0.05746133,-0.008792796,0.11306489,0.14616981,-0.075272396,0.14592458,-0.16257805,-0.15735538,0.047106024,0.017373636,0.1315416,-0.15512252,-0.05489716,0.17487727,0.07713517,0.013644566,-0.104638614,0.1636091,-0.017323265,-0.12692234,-0.06733255,-0.07638741,-0.089250326,0.0752195,0.0071315514,-0.18204996,-0.17739223,0.13156055,0.15150978,-0.11974241,0.10903579,0.006106927,0.15006685,-0.03577049,-0.18476819,-0.13651614,0.1750301,-0.057854243,-0.099628165,-0.2589432,-0.108315304,0.0054447595,-0.1566963,0.12067839,0.18403071,-0.10056628,-0.16530146,0.18620579,0.11114174,-0.014110096,-0.17694229,-0.14465912
102,-0.16794518,-0.20376274,-0.073013626,0.22117677,-0.09463719,-0.0041094227,0.15742438,0.023728188,0.12917759,0.04080186,-0.15465412,-0.10437451,0.079208575,0.020607363,0.13017671,0.14363913,-0.08340452,0.18063673,-0.17921671,-0.1333413,0.10396656,0.011497242,0.13681102,-0.13703804,-0.073732816,0.19940361,0.075918496,0.057046045,-0.07726688,0.12855059,0.03276236,-0.08806774,-0.10459987,-0.10756492,-0.09220554,0.06044794,-0.028250284,-0.17088255,-0.17902748,0.16123651,0.16266707,-0.10381578,0.0751943,0.049421124,0.13905522,-0.014121867,-0.16374898,-0.156154,0.1542134,-0.07819579,-0.15004289,-0.23752598,-0.09922668,0.040825732,-0.1641531,0.15749392,0.17216572,-0.120365486,-0.15096717,0.17607456,0.075267136,0.020080363,-0.1994802,-0.17085055
103,-0.22662441,-0.16567951,-0.061658278,0.14493045,0.0006171126,0.08957312,0.052854005,-0.05405792,0.22198546,-0.034840003,-0.13100976,-0.15825751,0.0634439,-0.08501116,0.05949389,0.07850521,0.015167291,0.17699677,-0.07689659,-0.21003191,0.09881027,0.055843055,0.17683446,-0.06402811,0.010221893,0.18393716,0.014814481,0.03227548,-0.05171118,0.12807839,0.06507793,-0.162409,-0.12462992,-0.066644095,-0.17172602,0.14172739,-0.0688755,-0.08006689,-0.26708356,0.15898621,0.10233099,-0.018315494,0.18839863,-0.03275419,0.09200592,0.08117883,-0.22401454,-0.109286025,0.09810019,-0.01110913,-0.13196467,-0.28889677,-0.09924898,-0.04130475,-0.14487238,0.1548491,0.11824316,-0.11942768,-0.10430749,0.16368733,0.16762726,0.08572226,-0.1444627,-0.19847724
104,-0.22911182,-0.20546089,-0.10947841,0.1919431,-0.05959819,0.038591895,0.104829825,-0.01956711,0.2169066,-0.019486554,-0.12488302,-0.12112318,0.034685835,-0.07110476,0.05986067,0.085401826,-0.041679714,0.15301819,-0.11418381,-0.18256602,0.06697326,0.052769125,0.17595744,-0.09448604,0.0048319255,0.16488427,0.030170485,-0.008292038,-0.08901799,0.115177274,0.06090733,-0.17146528,-0.12554733,-0.08586549,-0.160685,0.07797062,-0.055892214,-0.12298755,-0.21572296,0.12434259,0.11677662,-0.07524909,0.16072734,-0.014025027,0.12274833,0.04750362,-0.20608032,-0.16619183,0.15866168,-0.025421266,-0.103288665,-0.278073,-0.14419267,-0.046221305,-0.18454488,0.13614227,0.14402996,-0.109136075,-0.13467133,0.16052108,0.11889195,0.07810995,-0.1601159,-0.15872417
105,-0.21330471,-0.19334036,-0.097711325,0.18568182,-0.0622392,0.03388576,0.11364832,-0.008112428,0.19100061,-0.013543484,-0.1315663,-0.11457376,0.061449964,-0.03855321,0.083810255,0.10857772,-0.046817653,0.16762163,-0.12647343,-0.17423518,0.08624937,0.051934965,0.17557931,-0.09902222,-0.023099395,0.17181557,0.036313318,0.02443535,-0.08276934,0.11084749,0.07539712,-0.14164793,-0.12393945,-0.09643468,-0.15328874,0.06341804,-0.07551003,-0.119882144,-0.2249633,0.15433995,0.12480616,-0.07672405,0.1413586,0.020898053,0.12563753,0.05544975,-0.19880046,-0.16139506,0.13748755,-0.030870415,-0.120912276,-0.26646432,-0.13144,-0.012662459,-0.17873245,0.1530668,0.1392095,-0.112050496,-0.1330014,0.15708528,0.097325094,0.08679835,-0.17264193,-0.17179438
106,-0.25859758,-0.17840734,-0.13481978,0.18089297,-0.029907513,0.080002986,0.045490053,-0.042436793,0.23344737,-0.036740072,-0.12202144,-0.14839604,-0.029516267,-0.18711327,0.023081291,0.012880982,0.003848386,0.11639428,-0.05014785,-0.17789944,0.011913245,0.049862266,0.16121875,-0.04210814,0.07099013,0.1346317,-0.006698557,-0.06884416,-0.099545784,0.13485762,0.04179833,-0.19072703,-0.118281566,-0.06873442,-0.15693988,0.13174586,-0.027227003,-0.1238022,-0.194019,0.04725503,0.11416469,-0.044867687,0.18718614,-0.095609054,0.0817756,0.037911624,-0.20339191,-0.14071582,0.17398278,-0.027101528,-0.055274308,-0.28356832,-0.15354241,-0.12788306,-0.18138278,0.09623278,0.15650268,-0.13923857,-0.14049052,0.1899895,0.1354851,0.08017795,-0.10742039,-0.1415904
